testFile,testCaseId
snad.pl,9.9.9.9.9
proxy.pl,4.4.1.2.39
proxy.pl,4.4.1.2.43
proxy.pl,4.4.1.2.45
proxy.pl,4.4.1.2.46
proxy.pl,4.4.1.11.2
proxy.pl,4.4.1.11.3
proxy.pl,4.4.1.11.4
proxy.pl,4.4.1.11.5
proxy.pl,4.4.3.6.9
proxy.pl,4.4.3.6.10
proxy.pl,4.4.1.10.13
proxy.pl,4.4.3.6.11
proxy.pl,4.5.1.8.10
proxy.pl,4.5.1.8.11
proxy.pl,4.4.2.2.20
proxy.pl,4.4.3.2.20
proxy.pl,4.4.3.2.22
proxy.pl,4.4.3.2.24
proxy.pl,4.4.2.2.16
proxy.pl,4.4.3.2.26
proxy.pl,4.4.3.2.28
proxy.pl,4.4.3.2.29
proxy.pl,4.4.3.2.27
proxy.pl,4.4.3.2.21
proxy.pl,4.4.3.2.23
proxy.pl,4.4.2.2.17
proxy.pl,4.4.1.9.6
proxy.pl,4.4.2.2.22
proxy.pl,4.4.2.2.23
proxy.pl,4.4.2.2.24
proxy.pl,4.4.2.3.2
proxy.pl,4.4.2.3.3
proxy.pl,4.4.2.3.4
proxy.pl,4.4.2.4.6
proxy.pl,4.4.2.4.9
proxy.pl,4.4.2.2.15
proxy.pl,4.4.2.4.3
proxy.pl,4.4.2.2.2
proxy.pl,4.4.2.2.7
proxy.pl,4.4.2.2.5
proxy.pl,4.4.1.2.50
proxy.pl,4.4.1.2.52
proxy.pl,4.4.1.7.7
proxy.pl,4.4.1.2.55
proxy.pl,4.4.1.2.57
proxy.pl,4.4.2.2.21
proxy.pl,4.4.2.1.12
proxy.pl,4.4.2.1.6
proxy.pl,4.4.2.1.7
proxy.pl,4.4.2.1.8
proxy.pl,4.4.2.1.2
proxy.pl,4.4.2.1.3
proxy.pl,4.4.2.1.4
proxy.pl,4.4.2.1.5
proxy.pl,4.4.2.1.9
proxy.pl,4.4.2.1.10
proxy.pl,4.4.2.1.11
proxy.pl,4.4.2.1.13
proxy.pl,4.4.1.6.6
proxy.pl,4.4.1.6.5
proxy.pl,5.1.1.1.3
proxy.pl,5.2.1.1.1
proxy.pl,5.2.1.1.5
proxy.pl,5.2.1.1.3 
proxy.pl,5.3.1.1.1
proxy.pl,5.3.1.1.3
proxy.pl,4.4.1.5.1
proxy.pl,4.4.1.5.13
proxy.pl,4.4.2.5.1
proxy.pl,4.4.2.5.5
proxy.pl,4.4.3.5.10
proxy.pl,4.4.3.5.1
proxy.pl,4.4.1.6.5
proxy.pl,4.3.1.1.31
proxy.pl,4.3.1.1.28
proxy.pl,4.3.1.2.19
proxy.pl,4.3.1.2.15
proxy.pl,1.23.1.1.1
proxy.pl,1.23.1.1.2
proxy.pl,4.3.1.1.16
proxy.pl,4.3.2.1.11
proxy.pl,4.3.3.1.23
proxy.pl,4.3.5.1.4
proxy.pl,4.3.2.1.15
proxy.pl,4.3.3.1.27
proxy.pl,0.0.0.0.0CLEAN
snad.pl,8.8.8.8.8
